+------------------------------------------------------------------------------------------------------------------+----+
|title                                                                                                             |year|
|Answering Range Queries Under Local Differential Privacy.                                                         |2019|
|FIT to Monitor Feed Quality.                                                                                      |2015|
|Interpretable and Informative Explanations of Outcomes.                                                           |2014|
|Front Matter.                                                                                                     |2014|
|Stratified random sampling from streaming and stored data.                                                        |2021|
|Scalable signal reconstruction for a broad range of applications.                                                 |2021|
|Editorial.                                                                                                        |2019|
|Exploring data using patterns: A survey.                                                                          |2022|
|PrivBayes: Private Data Release via Bayesian Networks.                                                            |2017|
|Scalable algorithms for signal reconstruction by leveraging similarity joins.                                     |2020|
|Effective and complete discovery of bidirectional order dependencies via set-based axioms.                        |2018|
|ABC of order dependencies.                                                                                        |2022|
|Conditional heavy hitters: detecting interesting correlations in data streams.                                    |2015|
|Efficient and effective ER with progressive blocking.                                                             |2021|
|Special issue on responsible data management and data science.                                                    |2022|
|Dense subgraph maintenance under streaming edge weight updates for real-time story identification.                |2014|
|UMicS: from anonymized data to usable microdata.                                                                  |2013|
|Exploring and Analyzing Change: The Janus Project.                                                                |2022|
|Composing Differential Privacy and Secure Computation: A Case Study on Scaling Private Record Linkage.            |2017|
|Don't Cry Wolf.                                                                                                   |2019|
|Effective Keyword Search in Weighted Graphs (Extended Abstract).                                                  |2021|
|Scaling up copy detection.                                                                                        |2015|
|FASTOD: Bringing Order to Data.                                                                                   |2018|
|Random Sampling for Group-By Queries.                                                                             |2020|
|Summarizing Hierarchical Multidimensional Data.                                                                   |2020|
|Scalable Informative Rule Mining.                                                                                 |2017|
|Structured Object Matching across Web Page Revisions.                                                             |2021|
|Big data integration.                                                                                             |2013|
|Indexing evolving events from tweet streams.                                                                      |2016|
|abcOD: Mining Band Order Dependencies.                                                                            |2022|
|Accurate and efficient private release of datacubes and contingency tables.                                       |2013|
|Size-Constrained Weighted Set Cover.                                                                              |2015|
|Fine-grained controversy detection in Wikipedia.                                                                  |2015|
|Constrained Private Mechanisms for Count Data.                                                                    |2018|
|Discovering Band Order Dependencies.                                                                              |2020|
|Finding interesting correlations with conditional heavy hitters.                                                  |2013|
|Data quality: The other face of Big Data.                                                                         |2014|
|Empirical privacy and empirical utility of anonymized data.                                                       |2013|
|Effective Explanations for Entity Resolution Models.                                                              |2022|
|Discovering Domain Orders via Order Dependencies.                                                                 |2022|
|Exploring Data Using Pa erns: A Survey and Open Problems.                                                         |2021|
|Compact explanation of data fusion decisions.                                                                     |2013|
|Natural Key Discovery in Wikipedia Tables.                                                                        |2020|
|Robust Group Linkage.                                                                                             |2015|
|Integrating the R Language Runtime System with a Data Stream Warehouse.                                           |2017|
|The elephant in the room: getting value from Big Data.                                                            |2015|
|"Tell me more" using Ladders in Wikipedia.                                                                        |2017|
|Data Fusion: Resolving Conflicts from Multiple Sources.                                                           |2013|
|Empirical glitch explanations.                                                                                    |2014|
|Robust Entity Resolution using Random Graphs.                                                                     |2018|
|Repairing Noisy Graphs.                                                                                           |2017|
|DataPrism: Exposing Disconnect between Data and Systems.                                                          |2022|
|LedgerView: Access-Control Views on Hyperledger Fabric.                                                           |2022|
|Private Release of Graph Statistics using Ladder Functions.                                                       |2015|
|Hierarchical Entity Resolution using an Oracle.                                                                   |2022|
|Reverse engineering complex join queries.                                                                         |2013|
|Publication Culture and Review Processes in the Data Management Community: An Open Discussion.                    |2022|
|BEER: Blocking for Effective Entity Resolution.                                                                   |2021|
|SourceSight: Enabling Effective Source Selection.                                                                 |2016|
|Marginal Release Under Local Differential Privacy.                                                                |2018|
|Interpreting deep learning models for entity resolution: an experience report using LIME.                         |2019|
|Privacy at Scale: Local Differential Privacy in Practice.                                                         |2018|
|FastQRE: Fast Query Reverse Engineering.                                                                          |2018|
|StoryPivot: Comparing and Contrasting Story Evolution.                                                            |2015|
|Enabling Change Exploration: Vision Paper.                                                                        |2017|
|Knowledge Curation and Knowledge Fusion: Challenges, Models and Applications.                                     |2015|
|Big Data Linkage for Product Specification Pages.                                                                 |2018|
|Characterizing and selecting fresh data sources.                                                                  |2014|
|Fusing data with correlations.                                                                                    |2014|
|Identifying the Extent of Completeness of Query Answers over Partially Complete Databases.                        |2015|
|PrivBayes: private data release via bayesian networks.                                                            |2014|
|Subgraph Representation Learning for Team Mining.                                                                 |2022|
|Big Data Integration.                                                                                             |2013|
|Fraud Buster: Tracking IRSF Using Blockchain While Protecting Business Confidentiality.                           |2021|
|DBChEx: Interactive Exploration of Data and Schema Change.                                                        |2019|
|Finding Quality in Quantity: The Challenge of Discovering Valuable Sources for Integration.                       |2015|
|Geofences in the sky: herding drones with blockchains and 5G.                                                     |2018|
|Geotagging IP Packets for Location-Aware Software-Defined Networking in the Presence of Virtual Network Functions.|2017|
|Mind the Gaps (and Bumps): Statistical Smoothing of Spatiotemporal Streams.                                       |2017|
|Smartmedia: Locally & Contextually-Adapted Streaming Media.                                                       |2020|
|Lessons Learned and Research Agenda for Big Data Integration of Product Specifications.                           |2018|
|Crowd-Sourced Entity Resolution with Control Queries.                                                             |2019|
|Exploring Change.                                                                                                 |2019|
|A Tool for Statistical Analysis on Network Big Data.                                                              |2017|
|Towards High-Quality Big Data: Lessons from FIT.                                                                  |2020|
|Retrieving Skill-Based Teams from Collaboration Networks.                                                         |2021|
|Informative Summarization of Numeric Data.                                                                        |2019|
|Fine-Tuning Dependencies with Parameters.                                                                         |2022|
|Efficient Discovery of Approximate Order Dependencies.                                                            |2021|
|Stratified Random Sampling over Streaming and Stored Data.                                                        |2019|
|Erratum for Discovering Order Dependencies through Order Compatibility (EDBT 2019).                               |2020|
|Bring Order to Data.                                                                                              |2019|
|On Axiomatization and Inference Complexity over a Hierarchy of Functional Dependencies.                           |2015|
|The Secret Life of Wikipedia Tables.                                                                              |2021|
+------------------------------------------------------------------------------------------------------------------+----+
